cohort_month,cohort_size,month_index,active_customers,retention_pct
2010-12-01,885,0,885,100.0
2010-12-01,885,1,324,36.6
2010-12-01,885,2,286,32.3
2010-12-01,885,3,340,38.4
2010-12-01,885,4,321,36.3
2010-12-01,885,5,352,39.8
2010-12-01,885,6,321,36.3
2010-12-01,885,7,309,34.9
2010-12-01,885,8,313,35.4
2010-12-01,885,9,350,39.5
2010-12-01,885,10,331,37.4
2010-12-01,885,11,445,50.3
2010-12-01,885,12,235,26.6
2011-01-01,417,0,417,100.0
2011-01-01,417,1,92,22.1
2011-01-01,417,2,111,26.6
2011-01-01,417,3,96,23.0
2011-01-01,417,4,134,32.1
2011-01-01,417,5,120,28.8
2011-01-01,417,6,103,24.7
2011-01-01,417,7,101,24.2
2011-01-01,417,8,125,30.0
2011-01-01,417,9,136,32.6
2011-01-01,417,10,152,36.5
2011-01-01,417,11,49,11.8
2011-02-01,380,0,380,100.0
2011-02-01,380,1,71,18.7
2011-02-01,380,2,71,18.7
2011-02-01,380,3,108,28.4
2011-02-01,380,4,103,27.1
2011-02-01,380,5,94,24.7
2011-02-01,380,6,96,25.3
2011-02-01,380,7,106,27.9
2011-02-01,380,8,94,24.7
2011-02-01,380,9,116,30.5
2011-02-01,380,10,26,6.8
2011-03-01,452,0,452,100.0
2011-03-01,452,1,68,15.0
2011-03-01,452,2,114,25.2
2011-03-01,452,3,90,19.9
2011-03-01,452,4,101,22.3
2011-03-01,452,5,76,16.8
2011-03-01,452,6,121,26.8
2011-03-01,452,7,104,23.0
2011-03-01,452,8,126,27.9
2011-03-01,452,9,39,8.6
2011-04-01,300,0,300,100.0
2011-04-01,300,1,64,21.3
2011-04-01,300,2,61,20.3
2011-04-01,300,3,63,21.0
2011-04-01,300,4,59,19.7
2011-04-01,300,5,68,22.7
2011-04-01,300,6,65,21.7
2011-04-01,300,7,78,26.0
2011-04-01,300,8,22,7.3
2011-05-01,284,0,284,100.0
2011-05-01,284,1,54,19.0
2011-05-01,284,2,49,17.3
2011-05-01,284,3,49,17.3
2011-05-01,284,4,59,20.8
2011-05-01,284,5,66,23.2
2011-05-01,284,6,75,26.4
2011-05-01,284,7,27,9.5
2011-06-01,242,0,242,100.0
2011-06-01,242,1,42,17.4
2011-06-01,242,2,38,15.7
2011-06-01,242,3,64,26.4
2011-06-01,242,4,56,23.1
2011-06-01,242,5,81,33.5
2011-06-01,242,6,23,9.5
2011-07-01,188,0,188,100.0
2011-07-01,188,1,34,18.1
2011-07-01,188,2,39,20.7
2011-07-01,188,3,42,22.3
2011-07-01,188,4,51,27.1
2011-07-01,188,5,21,11.2
2011-08-01,169,0,169,100.0
2011-08-01,169,1,35,20.7
2011-08-01,169,2,42,24.9
2011-08-01,169,3,41,24.3
2011-08-01,169,4,21,12.4
2011-09-01,299,0,299,100.0
2011-09-01,299,1,70,23.4
2011-09-01,299,2,90,30.1
2011-09-01,299,3,34,11.4
2011-10-01,358,0,358,100.0
2011-10-01,358,1,86,24.0
2011-10-01,358,2,41,11.5
2011-11-01,324,0,324,100.0
2011-11-01,324,1,36,11.1
2011-12-01,41,0,41,100.0
